rank,interval_id,site_id,profile_id,date_start,date_end,reconstruction_error,anomaly_threshold,is_autoencoder_anomaly,anomaly_note_ru
1,pichuga_yuzhny_profile_6_1995-07-14_2011-09-16,pichuga_yuzhny,pichuga_yuzhny_profile_6,1995-07-14,2011-09-16,0.2996364908065007,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
2,urakov_bugor_profile_3_1987-06-27_1990-05-23,urakov_bugor,urakov_bugor_profile_3,1987-06-27,1990-05-23,0.14733156970677372,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
3,urakov_bugor_profile_1_1987-06-27_1990-05-23,urakov_bugor,urakov_bugor_profile_1,1987-06-27,1990-05-23,0.14733156970677372,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
4,urakov_bugor_profile_2_1987-06-27_1990-05-23,urakov_bugor,urakov_bugor_profile_2,1987-06-27,1990-05-23,0.14733156970677372,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
5,urakov_bugor_profile_3_2000-07-09_2009-07-19,urakov_bugor,urakov_bugor_profile_3,2000-07-09,2009-07-19,0.11382460334232729,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
6,pichuga_yuzhny_profile_5_1995-07-14_2006-09-25,pichuga_yuzhny,pichuga_yuzhny_profile_5,1995-07-14,2006-09-25,0.08252234074089368,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
7,molchanovka_profile_59_1994-10-24_2003-07-23,molchanovka,molchanovka_profile_59,1994-10-24,2003-07-23,0.08098817595164282,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
8,molchanovka_profile_58_1994-10-24_2003-07-23,molchanovka,molchanovka_profile_58,1994-10-24,2003-07-23,0.08098817595164282,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
9,molchanovka_profile_57_1994-10-24_2003-07-23,molchanovka,molchanovka_profile_57,1994-10-24,2003-07-23,0.08098817595164282,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
10,novonikolskoe_profile_50_1995-07-15_2003-07-15,novonikolskoe,novonikolskoe_profile_50,1995-07-15,2003-07-15,0.06915413872146253,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
11,pichuga_yuzhny_profile_4_1995-07-14_2005-07-15,pichuga_yuzhny,pichuga_yuzhny_profile_4,1995-07-14,2005-07-15,0.05898967764890034,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
12,nizhniy_balykley_profile_54_2015-07-14_2016-05-26,nizhniy_balykley,nizhniy_balykley_profile_54,2015-07-14,2016-05-26,0.05445471362562449,0.0396099775575184,True,Строка имеет высокую ошибку восстановления автоэнкодера и требует предметной проверки; это не является автоматическим доказательством ошибки в данных.
